strainID	pos_control_cells_ml
HAMBI-0006	15606250
HAMBI-0097	43281250
HAMBI-0105	180000000
HAMBI-0262	2000000
HAMBI-0403	103125000
HAMBI-1279	114625000
HAMBI-1287	409375000
HAMBI-1292	976250000
HAMBI-1299	155208333
HAMBI-1842	49693750
HAMBI-1896	275833333
HAMBI-1972	85062500
HAMBI-1977	232218750
HAMBI-1988	45625000
HAMBI-2159	106562500
HAMBI-2160	502187500
HAMBI-2164	169375000
HAMBI-2443	232187500
HAMBI-2494	159593750
HAMBI-2659	84375000
HAMBI-2792	10075000
HAMBI-3031	58250000
HAMBI-3237	122312500