bioscreen_plate	bioscreen_well	plate	well	strainID	evolution	filtrate_source	KB_spike_conc_perc	replicate
1	1	1	A01	HAMBI_1287	anc	HAMBI_1977_anc	0	A
1	2	1	A02	HAMBI_1287	anc	HAMBI_1977_anc	0	B
1	3	1	A03	HAMBI_1287	anc	HAMBI_1977_anc	0	C
1	4	1	A04	HAMBI_1287	anc	HAMBI_1977_anc	0	D
1	5	1	A05	HAMBI_1287	anc	HAMBI_1977_anc	0	E
1	6	1	A06	HAMBI_1287	evo	HAMBI_1977_anc	0	A
1	7	1	A07	HAMBI_1287	evo	HAMBI_1977_anc	0	B
1	8	1	A08	HAMBI_1287	evo	HAMBI_1977_anc	0	C
1	9	1	A09	HAMBI_1287	evo	HAMBI_1977_anc	0	D
1	10	1	A10	HAMBI_1287	evo	HAMBI_1977_anc	0	E
1	11	1	A11	HAMBI_1977	anc	HAMBI_1287_anc	0	A
1	12	1	A12	HAMBI_1977	anc	HAMBI_1287_anc	0	B
1	13	1	B01	HAMBI_1977	anc	HAMBI_1287_anc	0	C
1	14	1	B02	HAMBI_1977	anc	HAMBI_1287_anc	0	D
1	15	1	B03	HAMBI_1977	anc	HAMBI_1287_anc	0	E
1	16	1	B04	HAMBI_1977	evo	HAMBI_1287_anc	0	A
1	17	1	B05	HAMBI_1977	evo	HAMBI_1287_anc	0	B
1	18	1	B06	HAMBI_1977	evo	HAMBI_1287_anc	0	C
1	19	1	B07	HAMBI_1977	evo	HAMBI_1287_anc	0	D
1	20	1	B08	HAMBI_1977	evo	HAMBI_1287_anc	0	E
1	21	1	B09	HAMBI_1287	anc	HAMBI_1977_anc	2.5	A
1	22	1	B10	HAMBI_1287	anc	HAMBI_1977_anc	2.5	B
1	23	1	B11	HAMBI_1287	anc	HAMBI_1977_anc	2.5	C
1	24	1	B12	HAMBI_1287	anc	HAMBI_1977_anc	2.5	D
1	25	1	C01	HAMBI_1287	anc	HAMBI_1977_anc	2.5	E
1	26	1	C02	HAMBI_1287	evo	HAMBI_1977_anc	2.5	A
1	27	1	C03	HAMBI_1287	evo	HAMBI_1977_anc	2.5	B
1	28	1	C04	HAMBI_1287	evo	HAMBI_1977_anc	2.5	C
1	29	1	C05	HAMBI_1287	evo	HAMBI_1977_anc	2.5	D
1	30	1	C06	HAMBI_1287	evo	HAMBI_1977_anc	2.5	E
1	31	1	C07	HAMBI_1977	anc	HAMBI_1287_anc	2.5	A
1	32	1	C08	HAMBI_1977	anc	HAMBI_1287_anc	2.5	B
1	33	1	C09	HAMBI_1977	anc	HAMBI_1287_anc	2.5	C
1	34	1	C10	HAMBI_1977	anc	HAMBI_1287_anc	2.5	D
1	35	1	C11	HAMBI_1977	anc	HAMBI_1287_anc	2.5	E
1	36	1	C12	HAMBI_1977	evo	HAMBI_1287_anc	2.5	A
1	37	1	D01	HAMBI_1977	evo	HAMBI_1287_anc	2.5	B
1	38	1	D02	HAMBI_1977	evo	HAMBI_1287_anc	2.5	C
1	39	1	D03	HAMBI_1977	evo	HAMBI_1287_anc	2.5	D
1	40	1	D04	HAMBI_1977	evo	HAMBI_1287_anc	2.5	E
1	41	1	D05	HAMBI_1287	anc	HAMBI_1977_anc	5	A
1	42	1	D06	HAMBI_1287	anc	HAMBI_1977_anc	5	B
1	43	1	D07	HAMBI_1287	anc	HAMBI_1977_anc	5	C
1	44	1	D08	HAMBI_1287	anc	HAMBI_1977_anc	5	D
1	45	1	D09	HAMBI_1287	anc	HAMBI_1977_anc	5	E
1	46	1	D10	HAMBI_1287	evo	HAMBI_1977_anc	5	A
1	47	1	D11	HAMBI_1287	evo	HAMBI_1977_anc	5	B
1	48	1	D12	HAMBI_1287	evo	HAMBI_1977_anc	5	C
1	49	1	E01	HAMBI_1287	evo	HAMBI_1977_anc	5	D
1	50	1	E02	HAMBI_1287	evo	HAMBI_1977_anc	5	E
1	51	1	E03	HAMBI_1977	anc	HAMBI_1287_anc	5	A
1	52	1	E04	HAMBI_1977	anc	HAMBI_1287_anc	5	B
1	53	1	E05	HAMBI_1977	anc	HAMBI_1287_anc	5	C
1	54	1	E06	HAMBI_1977	anc	HAMBI_1287_anc	5	D
1	55	1	E07	HAMBI_1977	anc	HAMBI_1287_anc	5	E
1	56	1	E08	HAMBI_1977	evo	HAMBI_1287_anc	5	A
1	57	1	E09	HAMBI_1977	evo	HAMBI_1287_anc	5	B
1	58	1	E10	HAMBI_1977	evo	HAMBI_1287_anc	5	C
1	59	1	E11	HAMBI_1977	evo	HAMBI_1287_anc	5	D
1	60	1	E12	HAMBI_1977	evo	HAMBI_1287_anc	5	E
1	61	1	F01	HAMBI_1287	anc	HAMBI_1977_anc	7.5	A
1	62	1	F02	HAMBI_1287	anc	HAMBI_1977_anc	7.5	B
1	63	1	F03	HAMBI_1287	anc	HAMBI_1977_anc	7.5	C
1	64	1	F04	HAMBI_1287	anc	HAMBI_1977_anc	7.5	D
1	65	1	F05	HAMBI_1287	anc	HAMBI_1977_anc	7.5	E
1	66	1	F06	HAMBI_1287	evo	HAMBI_1977_anc	7.5	A
1	67	1	F07	HAMBI_1287	evo	HAMBI_1977_anc	7.5	B
1	68	1	F08	HAMBI_1287	evo	HAMBI_1977_anc	7.5	C
1	69	1	F09	HAMBI_1287	evo	HAMBI_1977_anc	7.5	D
1	70	1	F10	HAMBI_1287	evo	HAMBI_1977_anc	7.5	E
1	71	1	F11	HAMBI_1977	anc	HAMBI_1287_anc	7.5	A
1	72	1	F12	HAMBI_1977	anc	HAMBI_1287_anc	7.5	B
1	73	1	G01	HAMBI_1977	anc	HAMBI_1287_anc	7.5	C
1	74	1	G02	HAMBI_1977	anc	HAMBI_1287_anc	7.5	D
1	75	1	G03	HAMBI_1977	anc	HAMBI_1287_anc	7.5	E
1	76	1	G04	HAMBI_1977	evo	HAMBI_1287_anc	7.5	A
1	77	1	G05	HAMBI_1977	evo	HAMBI_1287_anc	7.5	B
1	78	1	G06	HAMBI_1977	evo	HAMBI_1287_anc	7.5	C
1	79	1	G07	HAMBI_1977	evo	HAMBI_1287_anc	7.5	D
1	80	1	G08	HAMBI_1977	evo	HAMBI_1287_anc	7.5	E
1	81	1	G09	HAMBI_1287	anc	HAMBI_1977_anc	10	A
1	82	1	G10	HAMBI_1287	anc	HAMBI_1977_anc	10	B
1	83	1	G11	HAMBI_1287	anc	HAMBI_1977_anc	10	C
1	84	1	G12	HAMBI_1287	anc	HAMBI_1977_anc	10	D
1	85	1	H01	HAMBI_1287	anc	HAMBI_1977_anc	10	E
1	86	1	H02	HAMBI_1287	evo	HAMBI_1977_anc	10	A
1	87	1	H03	HAMBI_1287	evo	HAMBI_1977_anc	10	B
1	88	1	H04	HAMBI_1287	evo	HAMBI_1977_anc	10	C
1	89	1	H05	HAMBI_1287	evo	HAMBI_1977_anc	10	D
1	90	1	H06	HAMBI_1287	evo	HAMBI_1977_anc	10	E
1	91	1	H07	HAMBI_1977	anc	HAMBI_1287_anc	10	A
1	92	1	H08	HAMBI_1977	anc	HAMBI_1287_anc	10	B
1	93	1	H09	HAMBI_1977	anc	HAMBI_1287_anc	10	C
1	94	1	H10	HAMBI_1977	anc	HAMBI_1287_anc	10	D
1	95	1	H11	HAMBI_1977	anc	HAMBI_1287_anc	10	E
1	96	1	H12	HAMBI_1977	evo	HAMBI_1287_anc	10	A
1	97	2	A01	HAMBI_1977	evo	HAMBI_1287_anc	10	B
1	98	2	A02	HAMBI_1977	evo	HAMBI_1287_anc	10	C
1	99	2	A03	HAMBI_1977	evo	HAMBI_1287_anc	10	D
1	100	2	A04	HAMBI_1977	evo	HAMBI_1287_anc	10	E
