Well	Sample ID	Date	syber_stained	dilution	1287_GrFS.Concentration Concentration for 1287_GrFS  (cells/mL)	1977_GrFS.Concentration Concentration for 1977_GrFS  (cells/mL)	12871977_GrFS.Concentration Concentration for 12871977_GrFS  (cells/mL)	1287_GrSS.Concentration Concentration for 1287_GrSS  (cells/mL)	1977_GrSS.Concentration Concentration for 1977_GrSS  (cells/mL)	12871977_GrSS.Concentration Concentration for 12871977_GrSS  (cells/mL)	12871977_FSSS.Concentration Concentration for 12871977_FSSS  (cells/mL)	12871977_GrAW.Concentration Concentration for 12871977_GrAW  (cells/mL)
Tube07	filtrate	03.24.2023	no	1	86084.5794265017	107053.041185642	91376.9387842399	21839.3563369958	56072.2124357836	72485.2256338326	107722.960091685	173575.988555693
Tube08	filtrate	03.24.2023	no	1	3028.13827055886	4999.28488063964	3656.6197984107	1428.36710875418	2856.73421750836	5342.09298674064	10969.8593952321	12969.573347488
A01	1287_100	03.24.2023	yes	100	1757621.62785269	1634075.76192962	1722374.71904523	1735819.41621921	1792868.53666016	1856094.95039726	1741269.96912758	1082116.43740858
A02	1977_100	03.24.2023	yes	100	2156688.84094186	2173965.38706422	2145651.0475859	1833713.40926543	2212837.61583955	2388002.59735796	2196520.87783509	2119736.22840236
A03	MIX_100	03.24.2023	yes	100	2304888.48540701	2245573.31958054	2274736.60944522	2239147.50994934	2398309.87158371	2506065.75616847	2343443.34319422	1771546.28601731
A04	1287_500	03.24.2023	yes	500	2279646.28785793	2158077.71773239	2222631.57086107	2225929.94291874	2369173.52942325	2436083.36259312	2214621.23872102	1708556.72587285
A05	1977_500	03.24.2023	yes	500	1971566.207024	1965757.72072384	1955800.31563786	1594844.3812711	2018448.98930382	2107235.85132047	1926757.88413709	1959949.23442369
A06	MIX_500	03.24.2023	yes	500	2181283.12535611	2098543.20600058	2132286.30160367	2107787.88972745	2319028.91288654	2421644.90225485	2136908.64346711	1889151.11958686
A07	1287_1000	03.24.2023	yes	1000	1934413.94079307	1832502.98308188	1879101.67378254	1779463.8229348	1988210.80322798	2046932.73053368	1700283.93385807	1801816.04042535
A08	1977_1000	03.24.2023	yes	1000	763918.633361642	796970.36034312	777647.812261641	474249.908175255	786292.110087565	838666.385150523	801038.265202379	791207.495125837
A09	MIX_1000	03.24.2023	yes	1000	1672442.15241023	1583625.41258989	1632458.23263871	1495791.88391148	1663593.25213293	1709476.43875598	1456463.43823458	1502018.88781032
A10	1287_500 US	03.24.2023	no	500	73986.392382735	86029.277899728	78111.9148772213	58819.0302706532	75199.7813517015	102561.702601897	143452.91085607	91762.5407780949
A11	1977_500 US	03.24.2023	no	500	9275.97997944498	13150.3984464693	10605.1600374752	4581.42913618929	9756.74723447719	16883.4147796605	22737.4631203468	18806.4837997894
A12	MIX_500 US	03.24.2023	no	500	6845.31717843783	14114.9308762003	9136.51838279099	2319.4876389748	7382.75943624907	20451.0922314486	41383.0538514651	21893.7003971524